blockage_conduit,blockage_sensor_node,total_true_fov_surcharge_down,total_est_fov_surcharge_down,total_true_fov_surcharge_thresh,total_est_fov_surcharge_thresh,POD,FAR,n_sensor
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,G75S541,1440.0,282.0,0.0,282.0,,0.0,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,G75S520,1440.0,1347.0,0.0,1347.0,,0.0,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,10
G75S510_G75S490_l1,,,,,,,,200
G75S510_G75S490_l1,,,,,,,,200
G75S510_G75S490_l1,G75S530,1440.0,850.0,0.0,850.0,,0.0,200
G75S510_G75S490_l1,G75S510,1440.0,4591.0,0.0,4591.0,,0.82078666319354,200
G75S510_G75S490_l1,G75S520,1440.0,1347.0,0.0,1347.0,,0.0,200
G75S510_G75S490_l1,,,,,,,,200
G75S510_G75S490_l1,G75S541,1440.0,282.0,0.0,282.0,,0.0,200
